,PRODUCTO,TIENDA,TIPO_TIENDA,MUNICIPIO,ESTADO,INCUMPLIMIENTO
26292,LECHE,7 ELEVEN MEXICO  S.A. DE C.V. (SENDERO Y CONSTITUYENTES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26293,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (CONSTITUYENTES Y VILLAEHRMOSA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26294,CAFE,7 ELEVEN MEXICO S.A. DE C.V. (12 DE MARZO Y PUERTO RICO),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26295,SALSA,7 ELEVEN MEXICO  S.A. DE C.V. (CASA BLANCA Y PASEO DE CASTELLAN),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26296,ATUN,7 ELEVEN MEXICO  S.A. DE C.V. (PALMARES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26297,FRIJOLES,7 ELEVEN MEXICO  S.A. DE C.V. (FRANCISCO VILLA Y ROBERTO GUERRA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26298,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (TERCERA Y SOLERNAU),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26299,FRIJOLES,7 ELEVEN MEXICO  S.A. DE C.V. (CARR. FED. MATA-REY),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26300,FRIJOLES,7 ELEVEN MEXICO  S.A. DE C.V. (MONTEBELLO),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26301,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (GOMEZ PALACIO),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26302,JUGUETES,NUEVA WAL MART DE MEXICO  S. DE R.L. Y/O BODEGA AURRERA  NORTE,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26303,JUGUETES,WALMART Y/O   NUEVA  WALMART DE  MEXICO S DE RL DE CV,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26304,JUGUETES,NUEVA WALMART DE MEXICO S DE RL DE CV,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26305,TORTILLAS DE MAIZ,TORTILLERIA  LA BENDICION,TORTILLERIA,HUIXTLA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26306,ROPA,NOVEDADES MIGUELITO,NOVEDADES Y FANTASIAS,VILLA COMALTITLAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26307,ZAPATOS,ZAPATERIA ARTHER,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26308,ROPA,LA ARDILLA,ROPA INFANTIL,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26309,ZAPATOS,ZAPATERIA FLEXI,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26310,ZAPATOS,AZUL OZONO S. A DE C.V.,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26311,ZAPATOS,ZAPATERIAS ARTHER,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26312,ROPA,NOVEDADES ALAN,NOVEDADES Y FANTASIAS,VILLA COMALTITLAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26313,DULCES Y GOLOSINAS,DULCERIA ARCOIRIS,DULCES Y CHOCOLATES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
